Timestamp,"According to you, how important is the Reproducibility and Replicability of Geographical research to ... [Your own research]","According to you, how important is the Reproducibility and Replicability of Geographical research to ... [Our Department]","According to you, how important is the Reproducibility and Replicability of Geographical research to ... [The future of Geographical research]",How much do you consider Reproducibility and Replicability in your own research?,Do you publish your code/data/reproducible examples of your research? (Multiple choice),Please tell us what restricts you from publishing your code/data/reproducible examples of your research? (Multiple choice),Tell us which Research Group/Geography Branch do you identify with. (Multiple choice),"Tell us what you think about R&R. What would help you to develope better R&R practice? What would help our department to be better in R&R? Is this even relevant?"""
16/03/2021 16:18:13,Not Important,Moderately Important,Slightly Important,1,I don't do any of that,"I don't used the scientific method, I am qualitative researcher so notions of reproducability and replicability are irrelevant","Human Geography, Historical and Cultural Research Group","This is irrelevant for my own branch of geography. I have no opinions really, other colleagues will have ideas relevant to their own practice."
17/03/2021 07:06:50,Important,Important,Important,4,I don't do any of that,"Lack of skills, tools or knowledge of how to do that","Human Geography, Political Economy, Quantitative Spatial Science",
17/03/2021 08:20:56,Very Important,Very Important,Very Important,3,I don't do any of that,"Lack of skills, tools or knowledge of how to do that",Physical Geography,Training on how to do this and what the different options are
17/03/2021 08:42:44,Very Important,Very Important,Very Important,4,"Publish preprint on Arxiv, Osf, Eartharxiv, or other distribution service/open-access archive","Lack of skills, tools or knowledge of how to do that","Physical Geography, Glaciology Centre",
16/03/2021 16:20:29,Very Important,Very Important,Very Important,4,"Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform","Lack of skills, tools or knowledge of how to do that","Physical Geography, Research Initiative for the Dynamic Global Environment",
16/03/2021 16:20:42,Very Important,Very Important,Very Important,4,"Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform","Lack of skills, tools or knowledge of how to do that",Physical Geography,
16/03/2021 17:29:26,Very Important,Very Important,Very Important,4,I don't do any of that,"Lack of skills, tools or knowledge of how to do that, My peers (the colaborators on my research do not have the skills, tools, knowldedge,...), No time (too much responsebilities, other...)","Physical Geography, Hydrology Group","This is definitely relevant. More focus needs to be placed on this in the dept, and at the start of research, not as a tickbox exercise at the end. No training is given as asummed supervisors will explain or train PhDs, and post-docs assumed to know already. Rarely questions asked in seminars about R&R."
16/03/2021 22:27:55,Important,Important,Important,4,"Deposit data with data archives such as Figshare, Osf, or with the journal","Lack of skills, tools or knowledge of how to do that, No time (too much responsebilities, other...)","Physical Geography, Glaciology Centre, Research Initiative for the Dynamic Global Environment",
16/03/2021 16:14:37,Important,Important,Important,3,I don't do any of that,"Lack of skills, tools or knowledge of how to do that, No time (too much responsebilities, other...)",Research Initiative for the Dynamic Global Environment,
16/03/2021 17:09:18,Very Important,Very Important,Very Important,5,"Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform","Lack of skills, tools or knowledge of how to do that, No time (too much responsebilities, other...)","Human Geography, Quantitative Spatial Science",
16/03/2021 18:07:07,Very Important,Slightly Important,Important,5,I don't do any of that,"Lack of skills, tools or knowledge of how to do that, Research is based upon field samples that vary with both time and space, so it is difficult for another researchers to reproduce the exact same research.","Physical Geography, Glaciology Centre","R&R is essential, but seems low on the list of many researchers' and institutions' priorities. There are still many analyses that lack a standardised, scientifically-verified best practice procedure, meaning that it can be difficult to even compare results from different field seasons.

Improving the conditions of the laboratories (e.g. for the instruments to work more reliably) would help to flatten the baseline of analyses, making it easier to trust in technical replicates. It would also make it more logistically feasible to run multiple analyses and hence to verify conclusions through independent methods. Similarly, buying some communal field equipment (e.g. peristaltic pumps) would make it easier to increase sample size in the field, making it easier to trust in-field replicates."
